,Name,iskmer,precision,recall,F1
0,14c38p,False,0.5788132752262822,0.5150490967981463,0.5450726933194404
1,14c38p,False,0.5915521287294669,0.5170259722447351,0.5517839730390143
2,2c9p,False,0.6808510638297872,0.5714285714285714,0.6213592233009708
3,2c9p,False,0.648936170212766,0.5657894736842105,0.6045171698548053
4,10c25p,False,0.5289634146341464,0.5223313053097345,0.5256264405887948
5,10c25p,False,0.5715566714490674,0.5600722673893406,0.5657561943380001
6,2c5p_low_copy,False,0.5555555555555556,0.5555555555555556,0.5555555555555556
7,2c5p_low_copy,False,0.7222222222222222,0.6875,0.7044334975369457
8,2c5p,False,0.5482456140350878,0.5482456140350878,0.5482456140350878
9,2c5p,False,0.5789473684210527,0.6363636363636364,0.6062992125984253
10,10c25p_low_copy,False,0.5705128205128205,0.5785714285714286,0.5745138667516736
11,10c25p_low_copy,False,0.5871794871794872,0.5997652582159625,0.593405646073256
12,wastewater-plasmidome,False,0.6737314254265272,0.6592202158781397,0.6663968323394674
13,wastewater-plasmidome,False,0.6766235553109521,0.6733511586452763,0.6749833907631078
